,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,-0.0,-0.0,0.0,1.9484169468647152e-13,-0.00013099759326136006,0.0,0.39006559196802426,0.3899344080297937,0.389934408031976,0.39006559197020624,1.2111906780936612,0.9502094713658946,0.1333482056968663,0.9675992069327849,-0.005259559155619976,0.003123271425823888,-0.2524170298457196,-0.003958261051129064,0.435172337585521,0.10716784774080779,0.01365532083803009,0.0010276637844830714,0.004700178856417084,0.5101914275448532,0.4283674844883413,0.47556685754114236,0.5009042535405199
1,0.008333333333333333,0.9999999992563158,1.0,0.5,0.9999999999998511,8.118403945244858e-16,-5.458233052556669e-07,4.5416527635777184e-21,-8.92421104093414e-08,-6.636795225260901e-17,0.0,2.386643837120549e-12,-0.00026198396363946713,1.4127830085723118e-17,0.39009837952004167,0.38990162047145294,0.3899016204804242,0.39009837952901083,1.2110828375889413,0.9502915447249254,0.13516742887410532,0.967605182322676,-0.005353065943551211,0.002103838250173479,-0.2524027133212361,0.002494386141771443,0.01949528543935264,0.20030710283793773,0.000906236016579792,-0.00013474804191987766,0.00010091999516993631,0.4452374582071016,0.401723198429876,0.5187168878487751,0.5032315776024713
2,0.016666666666666666,0.9999999955380219,1.0,0.5,0.9999999999976168,1.9888698642612965e-14,-2.1831996969945843e-06,1.268152229080451e-19,-4.46195260870508e-07,-1.990913479650262e-15,0.0,1.8214460315489242e-11,-0.0005239230376595445,1.2281603340244967e-16,0.39013114458703013,0.38986885538157356,0.389868855420411,0.39013114462585663,1.2109497875671764,0.9504277506685993,0.13733216000913723,0.9675780397330589,-0.004979037508520675,0.000971718263336256,-0.25252129014290453,-0.001045771919527816,-0.003976482878575993,0.2649573369161634,-0.0005825844220551132,-0.001048169477757658,-7.750230357530573e-05,0.4778437560083071,0.39906937173439494,0.44982739916356096,0.47513294844867876
3,0.025,0.9999999851273343,0.9999999999999999,0.5,0.9999999999879369,1.525990096881783e-13,-4.911848619069598e-06,1.2725557380626083e-18,-1.2492825101174506e-06,-1.8580161110737818e-14,0.0,8.039453883530545e-11,-0.0007857723400950207,6.221530416165972e-16,0.39013108837510285,0.3898689115437854,0.3898689116625537,0.3901310884938323,1.2107038577760072,0.950585967217899,0.14064833208066774,0.9675197689843072,-0.004312338162741236,-0.0009001484757704593,-0.252756978334614,-0.01616702005575732,0.0002456644601744884,0.27436715693893166,-0.0008296575416546981,-0.0007939246427599464,-7.477106871573797e-05,0.47092720709340674,0.3918822591554024,0.438820780649806,0.46146407780873566
4,0.03333333333333333,0.9999999628202471,0.9999999999999993,0.5,0.9999999999618822,6.898431889110652e-13,-8.731302531023225e-06,7.602904933146515e-18,-2.676850474102997e-06,-9.952463934470714e-14,0.0,2.567641625140455e-10,-0.001047487004287809,2.2671266863790587e-15,0.39013100968144904,0.38986899014708504,0.3898689904375328,0.3901310099717887,1.2105513829673382,0.9505772679539195,0.14325921805205602,0.9674269978494302,-0.005682325849958751,-0.0027848607702502023,-0.2530710563368792,-0.02748052458569905,0.006456819015987492,0.40593321647074687,-5.270863065746492e-05,-0.0015157649993199776,-0.00014699356637246146,0.46711217304985364,0.3930492056599439,0.4381290310048519,0.45560150461280546
5,0.041666666666666664,0.9999999219274239,0.999999999999997,0.5,0.9999999999069629,2.2923003637884562e-12,-1.3640906987760397e-05,3.2825976512582976e-17,-4.9071387672243304e-06,-3.83112964458087e-13,0.0,6.637541932162573e-10,-0.001309022186537421,6.621189263839165e-15,0.3901309085114183,0.38986909116998136,0.389869091778986,0.3901309091201661,1.2103385498724581,0.9506529904778223,0.14589365414663918,0.9673768386843373,-0.005531215151224864,-0.004247721673362448,-0.2532457590891388,-0.01079456688455327,-0.015802408098464227,0.44888889220552897,0.0006312641702127811,-0.001642475688014608,-0.0003538824127935563,0.44221562817806886,0.3721363708743302,0.41844430570684854,0.4318178420572888
6,0.05,0.9999998542753451,0.9999999999999893,0.5,0.9999999998071387,6.2211281314570655e-12,-1.963982075107246e-05,1.1322562527641118e-16,-8.118249461882616e-06,-1.1830291009954434e-12,0.0,1.4799095840715127e-09,-0.0015703330737477238,1.6507473619723174e-14,0.3901307848730163,0.38986921458597573,0.3898692157289807,0.39013078601548185,1.210121114138162,0.9507428310855274,0.14862202490930465,0.96732208961862,-0.00514045436017642,-0.00576736499923088,-0.2534330052810869,-0.03909049460786296,0.007904494368782267,0.4928463739420408,-0.0005807284776445014,-0.0019675291069927727,-0.00016832954409666035,0.4374029990223229,0.36459856378235955,0.4080454275967854,0.42424681644395873
7,0.058333333333333334,0.999999750207707,0.9999999999999688,0.5,0.9999999996428334,1.4624880227408268e-11,-2.6727015932994443e-05,3.311875541338502e-16,-1.2488116571609678e-05,-3.1194352732801e-12,0.0,2.9593465105475113e-09,-0.0018313748910687164,3.656107994773729e-14,0.39013063877691584,0.38986936036357484,0.3898693623379608,0.39013064075026876,1.2099505884485726,0.9506580944864825,0.15154005207069382,0.9672211717212248,-0.004577429761422135,-0.007196429521000668,-0.25379216598064946,-0.052100107828367825,0.00806572349619783,0.5353389942456405,-0.0008412311672246735,-0.0020099308280658486,-0.00035712281059709734,0.42512052683666907,0.3603360055686359,0.404374562568991,0.41230835146850536
8,0.06666666666666667,0.9999995985870773,0.9999999999999194,0.5,0.9999999993909504,3.088234904066817e-11,-3.4901278170972507e-05,8.53825148940088e-16,-1.819447556299054e-05,-7.303497612007802e-12,0.0,5.445132239430301e-09,-0.002092102909532068,7.388105359491683e-14,0.3901304702364707,0.38986952846631145,0.3898695316646834,0.3901304734330042,1.2096575971866526,0.9507567676994574,0.1546744980253026,0.9671655858254964,-0.00373945779948548,-0.008892656722715137,-0.2539639082755703,-0.07716362035330437,0.007512839909151747,0.5273431329882949,-0.00028138295172128945,-0.0015018327670447823,-0.00025493988673623254,0.4168000999174142,0.3553789768166783,0.39746496719105984,0.40203638759541793
9,0.075,0.9999993867968031,0.999999999999812,0.5,0.9999999990248939,6.00009821881301e-11,-4.4161206834813084e-05,1.9921381894161053e-15,-2.541483290160567e-05,-1.5584456782425168e-11,0.0,9.382573915008845e-09,-0.0023524724536790912,1.3878042230263226e-13,0.39013027926772964,0.389869718852764,0.38986972377614426,0.39013028418802426,1.2093130152068823,0.9508229762636555,0.15789610940603224,0.9671162647151198,-0.0034821205975621946,-0.011091622025718242,-0.25406885145656277,-0.07118309865723482,0.01092872684389512,0.5516586363259995,-0.000672912331415676,-0.0018841598096566489,-0.00032863773685057297,0.4163493888093137,0.360761625443367,0.3991416014609067,0.3978714971104816
10,0.08333333333333333,0.9999991007431729,0.9999999999995957,0.5,0.9999999985145908,1.0907046491017707e-10,-5.4505215265379755e-05,4.2869547462494885e-15,-3.432643563721073e-05,-3.0868281598507846e-11,0.0,1.53324025124774e-08,-0.0026124389091798732,2.4563241244770275e-13,0.39013006588945354,0.38986993147658144,0.3898699387474916,0.39013007315542747,1.2091022552739707,0.9508449215977202,0.16137630879179796,0.9669969274679471,-0.003893670277837415,-0.013017584934326731,-0.25442547844466235,-0.06856716160752452,0.007014963084817083,0.5581773618146685,-0.0014274636705959782,-0.0016833992960411206,-0.0005686563702622161,0.41071130888741714,0.3566499007881269,0.395484670503587,0.39261214693260327
